Competition,date,time,Venue,HomeTeam,Home Score,Away Score,Away team,Ref
U16 Football League Div.7,07 Mar,13:30,St Annes 14,Naomh Barrog B,"
										0-6
									","
										0-9
									",Thomas Davis B,Damien Burnett  Craobh Chiarain
U16 Football League Div.7,22 Feb,14:30,Pc Ui Bhriain,Naomh Olaf B,"
										
									","
										
									",Cuala B,Daniel Hussey  Geraldine P Moran
U16 Football League Div.7,22 Feb,13:00,Bremore Park,O Dwyers B,"
										4-13
									","
										1-1
									",Thomas Davis B,Robert Carthy St Maurs
U16 Football League Div.7,22 Feb,13:00,Silver Park,Kilmacud Crokes C,"
										3-8
									","
										2-7
									",Naomh Barrog B,Senan Finucane-Templeogue Synge Street
U16 Football League Div.7,15 Feb,15:00,St Annes 12,Naomh Barrog B,"
										
									","
										
									",Naomh Olaf B,
U16 Football League Div.7,15 Feb,15:00,Bremore Park,O Dwyers B,"
										
									","
										
									",Kilmacud Crokes C,
U16 Football League Div.7,15 Feb,15:00,Kiltipper Rd,Thomas Davis B,"
										
									","
										
									",Cuala B,
U16 Football League Div.7,08 Feb,15:00,Pc Ui Bhriain,Naomh Olaf B,"
										7-6
									","
										2-3
									",O Dwyers B,Senan Finucane-Templeogue Synge Street
U16 Football League Div.7,08 Feb,15:00,Shanganagh Park,Cuala B,"
										W/O
									","
										W/O
									",Naomh Barrog B,John Rutherford  Ballyboden St Enda
U16 Football League Div.7,08 Feb,13:30,Silver Park,Kilmacud Crokes C,"
										2-5
									","
										3-3
									",Thomas Davis B,Robert Doyle - Round Towers C
U16 Football League Div.5,23 Jun,19:30,St Annes 23,Clontarf B,"
										
									","
										
									",Round Towers L,TBC
U16 Football League Div.5,23 Jun,19:30,Newcastle,St Finians N,"
										
									","
										
									",Ballyboden St Endas B,TBC
U16 Football League Div.5,23 Jun,19:30,Collinstown,Na Fianna B,"
										
									","
										
									",St Sylvesters B,TBC
U16 Football League Div.5,23 Jun,19:30,Hartstown Park,St Peregrines,"
										
									","
										
									",Fingallians B,TBC
U16 Football League Div.5,23 Jun,19:30,Greentrees Park,Robert Emmets   St James,"
										
									","
										
									",Western Gaels SPP   St Marks,TBC
U16 Football League Div.5,28 May,19:30,Greentrees Park,Robert Emmets   St James,"
										
									","
										
									",Round Towers L,TBC
U16 Football League Div.5,28 May,19:30,Glenaulin Park,Western Gaels SPP   St Marks,"
										
									","
										
									",St Peregrines,TBC
U16 Football League Div.5,28 May,19:30,Balheary,Fingallians B,"
										
									","
										
									",Na Fianna B,TBC
U16 Football League Div.5,28 May,19:30,Malahide Castle,St Sylvesters B,"
										
									","
										
									",St Finians N,TBC
U16 Football League Div.5,28 May,19:30,Ballycullen,Ballyboden St Endas B,"
										
									","
										
									",Clontarf B,TBC
U16 Football League Div.5,28 Apr,19:00,Lusk,Round Towers L,"
										
									","
										
									",Ballyboden St Endas B,TBC
U16 Football League Div.5,28 Apr,19:00,St Annes 23,Clontarf B,"
										
									","
										
									",St Sylvesters B,TBC
U16 Football League Div.5,28 Apr,19:00,Newcastle,St Finians N,"
										
									","
										
									",Fingallians B,TBC
U16 Football League Div.5,28 Apr,19:00,Collinstown,Na Fianna B,"
										
									","
										
									",Western Gaels SPP   St Marks,TBC
U16 Football League Div.5,28 Apr,19:00,Hartstown Park,St Peregrines,"
										
									","
										
									",Robert Emmets   St James,TBC
U16 Football League Div.5,04 Apr,15:30,Hartstown Park,St Peregrines,"
										
									","
										
									",Round Towers L,TBC
U16 Football League Div.5,04 Apr,15:30,Malahide Castle,St Sylvesters B,"
										
									","
										
									",Ballyboden St Endas B,TBC
U16 Football League Div.5,04 Apr,15:30,Greentrees Park,Robert Emmets   St James,"
										
									","
										
									",Na Fianna B,TBC
U16 Football League Div.5,04 Apr,15:30,Glenaulin Park,Western Gaels SPP   St Marks,"
										
									","
										
									",St Finians N,TBC
U16 Football League Div.5,04 Apr,15:30,Balheary,Fingallians B,"
										
									","
										
									",Clontarf B,TBC
U16 Football League Div.5,21 Mar,15:00,Lusk,Round Towers L,"
										
									","
										
									",St Sylvesters B,TBC
U16 Football League Div.5,21 Mar,15:00,Ballycullen,Ballyboden St Endas B,"
										
									","
										
									",Fingallians B,TBC
U16 Football League Div.5,21 Mar,15:00,St Annes 23,Clontarf B,"
										
									","
										
									",Western Gaels SPP   St Marks,TBC
U16 Football League Div.5,21 Mar,15:00,Newcastle,St Finians N,"
										
									","
										
									",Robert Emmets   St James,TBC
U16 Football League Div.5,21 Mar,15:00,Collinstown,Na Fianna B,"
										
									","
										
									",St Peregrines,TBC
U16 Football League Div.5,07 Mar,15:00,Collinstown,Na Fianna B,"
										W/O
									","
										W/O
									",Round Towers L,Terry Carton  Naomh Fionnbarra
U16 Football League Div.5,07 Mar,15:00,Glenaulin Park,Western Gaels SPP   St Marks,"
										
									","
										
									",Ballyboden St Endas B,Seamus Keher - Lucan Sarsfields
U16 Football League Div.5,07 Mar,15:00,Balheary,Fingallians B,"
										2-4
									","
										2-5
									",St Sylvesters B,Brian Doran St Colmcilles
U16 Football League Div.5,07 Mar,15:00,Hartstown Park,St Peregrines,"
										5-13
									","
										1-4
									",St Finians N,Dave Sweeney Nh. OP/ER
U16 Football League Div.5,07 Mar,15:00,Greentrees Park,Robert Emmets   St James,"
										7-13
									","
										1-5
									",Clontarf B,Paul Cullivan St Annes
U16 Football League Div.5,22 Feb,14:30,Ballycullen,Ballyboden St Endas B,"
										
									","
										
									",Robert Emmets   St James,Tommie Clinton-Croi Ro Naofa
U16 Football League Div.5,22 Feb,14:30,Hartstown Park,Clontarf B,"
										0-6
									","
										5-8
									",St Peregrines,Fergus McGreevy Nh. OP/ER
U16 Football League Div.5,22 Feb,14:00,Lusk,Round Towers L,"
										2-13
									","
										1-2
									",Fingallians B,Damien Gilmore-Skerries Harps
U16 Football League Div.5,22 Feb,14:00,Newcastle,St Finians N,"
										1-3
									","
										3-10
									",Na Fianna B,Adam Kelly - Lucan Sarsfields
U16 Football League Div.5,22 Feb,13:00,Malahide Castle,St Sylvesters B,"
										
									","
										
									",Western Gaels SPP   St Marks,Chris McGinn Clontarf
U16 Football League Div.5,15 Feb,15:00,Newcastle,St Finians N,"
										
									","
										
									",Round Towers L,
U16 Football League Div.6,23 Jun,19:30,12th Lock,Lucan Sarsfields B,"
										
									","
										
									",Geraldine P Moran,TBC
U16 Football League Div.5,15 Feb,15:00,Hartstown Park,St Peregrines,"
										
									","
										
									",Ballyboden St Endas B,
U16 Football League Div.5,15 Feb,15:00,Greentrees Park,Robert Emmets   St James,"
										
									","
										
									",St Sylvesters B,
U16 Football League Div.5,15 Feb,15:00,Glenaulin Park,Western Gaels SPP   St Marks,"
										
									","
										
									",Fingallians B,
U16 Football League Div.5,15 Feb,15:00,Collinstown,Na Fianna B,"
										
									","
										
									",Clontarf B,
U16 Football League Div.5,08 Feb,15:00,Lusk,Round Towers L,"
										9-15
									","
										0-0
									",Western Gaels SPP   St Marks,Mick Joyce St Colmcilles
U16 Football League Div.6,23 Jun,19:30,Tymon Park,St Judes B,"
										
									","
										
									",Templeogue Synge Street B,TBC
U16 Football League Div.6,23 Jun,19:30,PNU,St Vincents B,"
										
									","
										
									",Ballyboden St Endas C,TBC
U16 Football League Div.6,23 Jun,19:30,Pairc Mearnog,Naomh Mearnog B,"
										W/O
									","
										W/O
									",Man O War,TBC
U16 Football League Div.6,23 Jun,19:30,John Paul Park,Naomh Fionnbarra,"
										
									","
										
									",Scoil Ui Chonaill,TBC
U16 Football League Div.6,28 May,19:30,John Paul Park,Naomh Fionnbarra,"
										
									","
										
									",Geraldine P Moran,TBC
U16 Football League Div.5,08 Feb,15:00,Balheary,Fingallians B,"
										2-6
									","
										5-12
									",Robert Emmets   St James,Brian Doran St Colmcilles
U16 Football League Div.5,08 Feb,15:00,Malahide Castle,St Sylvesters B,"
										0-4
									","
										11-20
									",St Peregrines,Alan Burke Na Dubh Ghall
U16 Football League Div.5,08 Feb,15:00,Ballycullen,Ballyboden St Endas B,"
										4-10
									","
										1-5
									",Na Fianna B,Mark Hanley - Lucan Sarsfields
U16 Football League Div.5,08 Feb,15:00,St Annes 23,Clontarf B,"
										1-4
									","
										4-9
									",St Finians N,Colm McCarthy-St Vincents
U16 Football League Div.6,28 May,19:30,Clontarf Road,Scoil Ui Chonaill,"
										W/O
									","
										W/O
									",Naomh Mearnog B,TBC
U16 Football League Div.6,28 May,19:30,Man O War,Man O War,"
										
									","
										
									",St Vincents B,TBC
U16 Football League Div.6,28 May,19:30,Ballycullen,Ballyboden St Endas C,"
										
									","
										
									",St Judes B,TBC
U16 Football League Div.6,28 May,19:30,Dolphin Park,Templeogue Synge Street B,"
										
									","
										
									",Lucan Sarsfields B,TBC
U16 Football League Div.6,28 Apr,18:00,Ballyogan,Geraldine P Moran,"
										
									","
										
									",Templeogue Synge Street B,TBC
U16 Football League Div.6,28 Apr,18:00,12th Lock,Lucan Sarsfields B,"
										
									","
										
									",Ballyboden St Endas C,TBC
U16 Football League Div.6,28 Apr,18:00,Tymon Park,St Judes B,"
										
									","
										
									",Man O War,TBC
U16 Football League Div.6,28 Apr,18:00,PNU,St Vincents B,"
										
									","
										
									",Scoil Ui Chonaill,TBC
U16 Football League Div.6,28 Apr,18:00,Pairc Mearnog,Naomh Mearnog B,"
										W/O
									","
										W/O
									",Naomh Fionnbarra,TBC
U16 Football League Div.6,04 Apr,15:30,Pairc Mearnog,Naomh Mearnog B,"
										W/O
									","
										W/O
									",Geraldine P Moran,TBC
U16 Football League Div.6,04 Apr,15:30,Ballycullen,Ballyboden St Endas C,"
										
									","
										
									",Templeogue Synge Street B,TBC
U16 Football League Div.6,04 Apr,15:30,John Paul Park,Naomh Fionnbarra,"
										
									","
										
									",St Vincents B,TBC
U16 Football League Div.6,04 Apr,15:30,Clontarf Road,Scoil Ui Chonaill,"
										
									","
										
									",St Judes B,TBC
U16 Football League Div.6,04 Apr,15:30,Man O War,Man O War,"
										
									","
										
									",Lucan Sarsfields B,TBC
U16 Football League Div.6,21 Mar,15:00,Ballyogan,Geraldine P Moran,"
										
									","
										
									",Ballyboden St Endas C,TBC
U16 Football League Div.6,21 Mar,15:00,Dolphin Park,Templeogue Synge Street B,"
										
									","
										
									",Man O War,TBC
U16 Football League Div.6,21 Mar,15:00,12th Lock,Lucan Sarsfields B,"
										
									","
										
									",Scoil Ui Chonaill,TBC
U16 Football League Div.6,21 Mar,15:00,Tymon Park,St Judes B,"
										
									","
										
									",Naomh Fionnbarra,TBC
U16 Football League Div.6,21 Mar,15:00,PNU,St Vincents B,"
										W/O
									","
										W/O
									",Naomh Mearnog B,TBC
U16 Football League Div.6,07 Mar,15:00,PNU,St Vincents B,"
										0-2
									","
										5-15
									",Geraldine P Moran,Luke Lacey Na Fianna
U16 Football League Div.6,07 Mar,15:00,Man O War,Man O War,"
										7-3
									","
										2-4
									",Ballyboden St Endas C,Alan Howley O Dwyers
U16 Football League Div.6,07 Mar,15:00,Pairc Mearnog,Naomh Mearnog B,"
										W/O
									","
										W/O
									",St Judes B,TBC
U16 Football League Div.6,07 Mar,15:00,John Paul Park,Naomh Fionnbarra,"
										3-14
									","
										3-4
									",Lucan Sarsfields B,Fergus McGreevy Nh. OP/ER
U16 Football League Div.6,07 Mar,14:00,Alfie Byrne Rd ( DCC),Scoil Ui Chonaill,"
										4-12
									","
										6-3
									",Templeogue Synge Street B,Tim McCarthy Snr St Vincents
U16 Football League Div.6,22 Feb,14:30,Ballyogan,Geraldine P Moran,"
										
									","
										
									",Man O War,Eamonn Dromgoole English - Cuala
U16 Football League Div.6,22 Feb,14:30,12th Lock,Lucan Sarsfields B,"
										W/O
									","
										W/O
									",Naomh Mearnog B,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.6,22 Feb,14:00,Dolphin Park,Templeogue Synge Street B,"
										2-7
									","
										6-10
									",Naomh Fionnbarra,Anthony Clinton-Croi Ro Naofa
U16 Football League Div.6,22 Feb,13:00,Ballycullen,Ballyboden St Endas C,"
										
									","
										
									",Scoil Ui Chonaill,Tommie Clinton-Croi Ro Naofa
U16 Football League Div.6,22 Feb,13:00,Tymon Park,St Judes B,"
										
									","
										
									",St Vincents B,Tiernan Lane Cuala
U16 Football League Div.6,15 Feb,15:00,Tymon Park,St Judes B,"
										
									","
										
									",Geraldine P Moran,
U16 Football League Div.6,15 Feb,15:00,Pairc Mearnog,Naomh Mearnog B,"
										W/O
									","
										W/O
									",Templeogue Synge Street B,
U16 Football League Div.6,15 Feb,15:00,John Paul Park,Naomh Fionnbarra,"
										
									","
										
									",Ballyboden St Endas C,
U16 Football League Div.6,15 Feb,15:00,PNU,St Vincents B,"
										
									","
										
									",Lucan Sarsfields B,
U16 Football League Div.6,15 Feb,14:00,Alfie Byrne Rd ( DCC),Scoil Ui Chonaill,"
										
									","
										
									",Man O War,
U16 Football League Div.6,08 Feb,15:00,Man O War,Man O War,"
										0-2
									","
										4-7
									",Naomh Fionnbarra,Dermot Deasy Ballymun Kickhams
U16 Football League Div.6,08 Feb,15:00,Dolphin Park,Templeogue Synge Street B,"
										2-6
									","
										3-5
									",St Vincents B,Lee Moroney St Annes
U16 Football League Div.6,08 Feb,14:30,Clontarf Road,Geraldine P Moran,"
										3-6
									","
										0-7
									",Scoil Ui Chonaill,Ray McBride Round Towers C
U16 Football League Div.6,08 Feb,13:30,Ballycullen,Ballyboden St Endas C,"
										W/O
									","
										W/O
									",Naomh Mearnog B,Mark Hanley - Lucan Sarsfields
U16 Football League Div.6,08 Feb,13:30,12th Lock,Lucan Sarsfields B,"
										4-7
									","
										4-3
									",St Judes B,Dave O Donovan St Marks
U16 Football Div.4 League,30 Nov,12:00,Collins Avenue,Whitehall Colmcille,"
										6-8
									","
										1-7
									",Man O War,Dave Aston Naomh Mearnog
U16 Football Div.4 League,23 Nov,15:00,Man O War,Man O War,"
										3-7
									","
										0-5
									",Crumlin Robert Emmets,Ian Howley-O Dwyers
U16 Football Div.4 League,21 Aug,19:30,Greentrees Park,Crumlin Robert Emmets,"
										3-5
									","
										2-8
									",Man O War,Senan Finucane-Templeogue Synge Street
U16 Football Div.4 League,18 Jul,19:30,Collins Avenue,Whitehall Colmcille,"
										5-17
									","
										1-5
									",Man O War,Brian Doran St Colmcilles
U16 Football Div.4 League,11 Jul,19:30,Man O War,Man O War,"
										3-11
									","
										3-11
									",Whitehall Colmcille,Dave Foley St Peregrines
U16 Football Div.4 League,27 Jun,19:30,Liffey Park,Good Counsel Liffey Gaels,"
										0-4
									","
										9-12
									",Crumlin Robert Emmets,Eamon O Dowd-Ballyfermot De La Salle
U16 Football Div.4 League,25 Jun,19:30,Man O War,Man O War,"
										4-16
									","
										4-7
									",St Catherines,Robert Fennelly  Trinity Gaels
U16 Football Div.4 League,25 Jun,19:30,St Annes 7,O Tooles,"
										W/O
									","
										W/O
									",Trinity Gaels,Kenneth Rooney Naomh Fionnbarra
U16 Football Div.4 League,25 Jun,19:30,Community Centre,Round Towers C,"
										1-9
									","
										4-11
									",Whitehall Colmcille,Paul Flanagan-St James Gaels
U16 Football Div.4 League,30 May,19:30,Greentrees Park,Crumlin Robert Emmets,"
										6-17
									","
										1-8
									",Trinity Gaels,Eoin Connolly  St Judes
U16 Football Div.4 League,30 Apr,19:00,Drumnigh,Trinity Gaels,"
										2-2
									","
										4-12
									",Man O War,Chris McGinn Clontarf
U16 Football Div.4 League,30 Apr,19:00,Greentrees Park,Crumlin Robert Emmets,"
										8-13
									","
										3-10
									",Round Towers C,Bobby Moran  St Judes
U16 Football Div.4 League,30 Apr,19:00,Westmanstown Sports Centre,St Catherines,"
										3-14
									","
										0-5
									",O Tooles,Ross Airoldi - St Peregrines
U16 Football Div.4 League,29 Apr,19:00,Collins Avenue,Whitehall Colmcille,"
										4-16
									","
										1-2
									",Good Counsel Liffey Gaels,Sean Dunican - Nh. OP/ER
U16 Football Div.4 League,06 Apr,15:30,St Annes 7,O Tooles,"
										W/O
									","
										W/O
									",Crumlin Robert Emmets,Adam Kelly - Lucan Sarsfields
U16 Football Div.4 League,06 Apr,15:30,Drumnigh,Trinity Gaels,"
										2-14
									","
										3-11
									",Good Counsel Liffey Gaels,Alan Burke - Na Dubh Ghall
U16 Football Div.4 League,06 Apr,15:30,Community Centre,Round Towers C,"
										2-10
									","
										2-4
									",St Catherines,Shay Hurson-Lucan Sarsfields
U16 Football Div.4 League,06 Apr,15:30,Man O War,Man O War,"
										2-15
									","
										2-7
									",Whitehall Colmcille,Dermot Deasy Ballymun Kickhams
U16 Football Div.4 League,23 Mar,15:00,Greentrees Park,Crumlin Robert Emmets,"
										2-16
									","
										1-8
									",Man O War,John Doherty Robert Emmets
U16 Football Div.4 League,23 Mar,15:00,Galtymore Rd,Good Counsel Liffey Gaels,"
										3-7
									","
										5-3
									",Round Towers C,Shay Hurson-Lucan Sarsfields
U16 Football Div.4 League,23 Mar,15:00,Collins Avenue,Whitehall Colmcille,"
										10-8
									","
										0-1
									",O Tooles,John Higgins-Na Fianna
U16 Football Div.4 League,23 Mar,15:00,Westmanstown Sports Centre,St Catherines,"
										0-3
									","
										3-14
									",Trinity Gaels,Dave Foley St Peregrines
U16 Football Div.4 League,09 Mar,15:00,Man O War,Man O War,"
										5-10
									","
										1-5
									",Round Towers C,Mick Joyce St Colmcilles
U16 Football Div.4 League,09 Mar,15:00,Hunters Run Park,St Catherines,"
										1-7
									","
										2-8
									",Whitehall Colmcille,Sean Dunican - Nh. OP/ER
U16 Football Div.4 League,09 Mar,14:00,Pairc Ui Tuaithail Blunden Drive,O Tooles,"
										1-7
									","
										6-14
									",Good Counsel Liffey Gaels,Brian Doran St Colmcilles
U16 Football Div.4 League,23 Feb,15:00,Galtymore Rd,Good Counsel Liffey Gaels,"
										0-7
									","
										7-11
									",Man O War,Maurice Mulcahy Kilmacud Crokes
U16 Football Div.4 League,23 Feb,15:00,Greentrees Park,Crumlin Robert Emmets,"
										3-14
									","
										0-7
									",St Catherines,Paul Flanagan-St James Gaels
U16 Football Div.4 League,23 Feb,15:00,Community Centre,Round Towers C,"
										3-6
									","
										2-8
									",O Tooles,Darren Malone St Marys
U16 Football Div.4 League,23 Feb,15:00,Collins Avenue,Whitehall Colmcille,"
										4-11
									","
										0-5
									",Trinity Gaels,Kevin Donohoe-Naomh Fionnbarra
U16 Football Div.4 League,16 Feb,15:00,St Annes 7,O Tooles,"
										3-4
									","
										6-14
									",Man O War,Seán Clarke - St Brigids
U16 Football Div.4 League,16 Feb,15:00,Drumnigh,Trinity Gaels,"
										3-13
									","
										0-6
									",Round Towers C,Mikey Dowling St Sylvesters
U16 Football Div.4 League,16 Feb,15:00,Westmanstown Sports Centre,St Catherines,"
										3-5
									","
										3-10
									",Good Counsel Liffey Gaels,Eoin Conway  Castleknock
U16 Football Div.4 League,16 Feb,15:00,Greentrees Park,Crumlin Robert Emmets,"
										2-10
									","
										4-10
									",Whitehall Colmcille,Robert Doyle - Round Towers C
U16 Football Div.1 League,21 Aug,19:30,Silver Park,Kilmacud Crokes A,"
										4-7
									","
										2-7
									",Skerries Harps A,Seamus Farrelly  Ballinteer St. John
U16 Football Div.1 League,18 Jul,19:30,Townparks,Skerries Harps A,"
										3-12
									","
										2-6
									",St Vincents A,Ian Howley-O Dwyers
U16 Football Div.1 League,11 Jul,19:30,PNU,St Vincents A,"
										W/O
									","
										W/O
									",Kilmacud Crokes A,Danny Harrington St Sylvesters
U16 Football Div.1 League,25 Jun,19:30,Collinstown,Na Fianna A,"
										1-11
									","
										5-13
									",Kilmacud Crokes A,Tom Tansey  St Brendan's
U16 Football Div.1 League,25 Jun,19:30,Ballycullen,Ballyboden St Endas A,"
										1-11
									","
										4-5
									",Skerries Harps A,Seamus Farrelly  Ballinteer St. John
U16 Football Div.1 League,25 Jun,19:30,Tymon Park,St Judes A,"
										2-14
									","
										2-14
									",St Sylvesters A,Senan Finucane-Templeogue Synge Street
U16 Football Div.1 League,25 Jun,19:30,Finglas,Erins Isle,"
										W/O
									","
										W/O
									",Fingallians A,Fergus McGreevy Nh. OP/ER
U16 Football Div.1 League,20 Jun,20:00,PNU,St Vincents A,"
										4-15
									","
										0-9
									",Clontarf A,Alan Burke - Na Dubh Ghall
U16 Football Div.1 League,30 May,19:30,Finglas,Erins Isle,"
										8-11
									","
										4-12
									",Clontarf A,George Williams -Trinity Gaels
U16 Football Div.1 League,30 May,19:30,Balheary,Fingallians A,"
										7-13
									","
										1-8
									",St Judes A,Derek Doran  St Colmcilles
U16 Football Div.1 League,30 May,19:30,Broomfield,St Sylvesters A,"
										3-14
									","
										2-19
									",Ballyboden St Endas A,Faolan McGovern Naomh Mearnog
U16 Football Div.1 League,30 May,19:30,Townparks,Skerries Harps A,"
										3-20
									","
										2-3
									",Na Fianna A,Robert Fennelly  Trinity Gaels
U16 Football Div.1 League,30 May,19:30,Silver Park,Kilmacud Crokes A,"
										1-10
									","
										1-9
									",St Vincents A,Seamus Farrelly  Ballinteer St. John
U16 Football Div.1 League,30 Apr,19:00,St Annes 23,Clontarf A,"
										1-6
									","
										4-12
									",Kilmacud Crokes A,Luke Lacey Na Fianna
U16 Football Div.1 League,30 Apr,19:00,PNU,St Vincents A,"
										4-10
									","
										3-8
									",Skerries Harps A,Laurence Kelly-Naomh Fionnbarra
U16 Football Div.1 League,30 Apr,19:00,Collinstown,Na Fianna A,"
										2-12
									","
										1-10
									",St Sylvesters A,Dave Sweeney Nh. OP/ER
U16 Football Div.1 League,30 Apr,19:00,Ballycullen,Ballyboden St Endas A,"
										6-12
									","
										3-9
									",Fingallians A,Caomhan Bermingham Nh. Olaf
U16 Football Div.1 League,30 Apr,19:00,Tymon Park,St Judes A,"
										1-14
									","
										1-7
									",Erins Isle,Ronnie Malone-St Marys
U16 Football Div.1 League,06 Apr,15:30,Tymon Park,St Judes A,"
										4-12
									","
										1-8
									",Clontarf A,Senan Finucane-Templeogue Synge Street
U16 Football Div.1 League,06 Apr,15:30,Balheary,Fingallians A,"
										1-5
									","
										9-17
									",Na Fianna A,Derek Doran  St Colmcilles
U16 Football Div.1 League,06 Apr,14:00,Broomfield,St Sylvesters A,"
										0-12
									","
										4-8
									",St Vincents A,Damien Burnett  Craobh Chiarain
U16 Football Div.1 League,06 Apr,12:00,Finglas,Erins Isle,"
										3-7
									","
										6-12
									",Ballyboden St Endas A,Danny Harrington St Sylvesters
U16 Football Div.1 League,05 Apr,20:00,UCD,Skerries Harps A,"
										2-15
									","
										1-11
									",Kilmacud Crokes A,Alan Howley O Dwyers
U16 Football Div.1 League,23 Mar,15:00,St Annes 23,Clontarf A,"
										1-8
									","
										3-8
									",Skerries Harps A,Damien Burnett  Craobh Chiarain
U16 Football Div.1 League,23 Mar,15:00,Silver Park,Kilmacud Crokes A,"
										2-16
									","
										1-10
									",St Sylvesters A,Eamonn Dromgoole English - Cuala
U16 Football Div.1 League,23 Mar,15:00,PNU,St Vincents A,"
										9-21
									","
										3-8
									",Fingallians A,Ian Kavanagh  Raheny
U16 Football Div.1 League,23 Mar,15:00,Collinstown,Na Fianna A,"
										3-14
									","
										3-9
									",Erins Isle,Fergus McGreevy Nh. OP/ER
U16 Football Div.1 League,23 Mar,15:00,Ballycullen,Ballyboden St Endas A,"
										4-15
									","
										1-3
									",St Judes A,Seamus Farrelly  Ballinteer St. John
U16 Football Div.1 League,09 Mar,15:00,Ballycullen,Ballyboden St Endas A,"
										3-13
									","
										2-5
									",Clontarf A,Tommie Clinton-Croi Ro Naofa
U16 Football Div.1 League,09 Mar,15:00,Balheary,Fingallians A,"
										3-5
									","
										6-12
									",Kilmacud Crokes A,Derek Doran  St Colmcilles
U16 Football Div.1 League,09 Mar,15:00,Broomfield,St Sylvesters A,"
										0-6
									","
										0-14
									",Skerries Harps A,John Higgins-Na Fianna
U16 Football Div.1 League,09 Mar,15:00,Tymon Park,St Judes A,"
										1-3
									","
										8-9
									",Na Fianna A,Dave O Donovan St Marks
U16 Football Div.1 League,09 Mar,15:00,Finglas,Erins Isle,"
										0-10
									","
										1-13
									",St Vincents A,Finbar Gaffney Na Fianna
U16 Football Div.1 League,23 Feb,15:00,St Annes 23,Clontarf A,"
										1-10
									","
										2-13
									",St Sylvesters A,Tim McCarthy Snr St Vincents
U16 Football Div.1 League,23 Feb,15:00,Townparks,Skerries Harps A,"
										4-19
									","
										0-12
									",Fingallians A,PJ Murray-St Finians S
U16 Football Div.1 League,23 Feb,15:00,Silver Park,Kilmacud Crokes A,"
										W/O
									","
										W/O
									",Erins Isle,Seamus Farrelly  Ballinteer St. John
U16 Football Div.1 League,23 Feb,15:00,PNU,St Vincents A,"
										3-12
									","
										2-7
									",St Judes A,Derek Doran  St Colmcilles
U16 Football Div.1 League,23 Feb,15:00,Collinstown,Na Fianna A,"
										0-4
									","
										6-14
									",Ballyboden St Endas A,Terry Carton  Naomh Fionnbarra
U16 Football Div.1 League,16 Feb,15:00,Mobhi Road,Na Fianna A,"
										6-8
									","
										2-7
									",Clontarf A,Killian Leddy  St Peregrines
U16 Football Div.1 League,16 Feb,15:00,Tymon Park,St Judes A,"
										3-12
									","
										4-11
									",Kilmacud Crokes A,Dave O Donovan St Marks
U16 Football Div.1 League,16 Feb,15:00,Finglas,Erins Isle,"
										1-7
									","
										0-15
									",Skerries Harps A,Finbar Gaffney Na Fianna
U16 Football Div.1 League,16 Feb,15:00,Balheary,Fingallians A,"
										2-11
									","
										3-8
									",St Sylvesters A,Derek Doran  St Colmcilles
U16 Football Div.1 League,16 Feb,15:00,Ballycullen,Ballyboden St Endas A,"
										2-10
									","
										4-8
									",St Vincents A,Seamus Farrelly  Ballinteer St. John
U16 Football Div.1 League,09 Feb,15:00,St Annes 23,Clontarf A,"
										5-7
									","
										4-8
									",Fingallians A,Finbar Gaffney Na Fianna
U16 Football Div.1 League,09 Feb,15:00,Broomfield,St Sylvesters A,"
										0-10
									","
										1-7
									",Erins Isle,PJ Murray-St Finians S
U16 Football Div.1 League,09 Feb,15:00,Townparks,Skerries Harps A,"
										1-12
									","
										0-10
									",St Judes A,Luke Lacey Na Fianna
U16 Football Div.1 League,09 Feb,15:00,Silver Park,Kilmacud Crokes A,"
										2-14
									","
										1-7
									",Ballyboden St Endas A,Seamus Farrelly  Ballinteer St. John
U16 Football Div.1 League,09 Feb,15:00,PNU,St Vincents A,"
										8-12
									","
										2-8
									",Na Fianna A,Sean Dunican - Nh. OP/ER
U16 Football Div.3 League,18 Jul,19:30,Ballamastone-Donabate,St Patricks D,"
										0-5
									","
										0-4
									",Ballyboden St Endas B,Derek Doran  St Colmcilles
U16 Football Div.3 League,11 Jul,19:30,Lusk,Round Towers L,"
										3-7
									","
										2-10
									",St Patricks D,Robert Fennelly  Trinity Gaels
U16 Football Div.3 League,11 Jul,19:30,Ballycullen,Ballyboden St Endas B,"
										2-15
									","
										6-11
									",Naomh OP ER,Senan Finucane-Templeogue Synge Street
U16 Football Div.3 League,25 Jun,19:30,Martin Savage Park,Naomh OP ER,"
										12-15
									","
										1-12
									",St Annes,Niall Madden - Lucan Sarsfields
U16 Football Div.3 League,25 Jun,19:30,St Annes 14,Naomh Barrog,"
										0-1
									","
										0-0
									",St Maurs,George Williams -Trinity Gaels
U16 Football Div.3 League,25 Jun,19:30,Lusk,Round Towers L,"
										2-14
									","
										5-4
									",St Peregrines,Damien Burnett  Craobh Chiarain
U16 Football Div.3 League,25 Jun,19:30,Chanel,Parnells,"
										13-10
									","
										4-13
									",Thomas Davis,Ian Kavanagh  Raheny
U16 Football Div.3 League,30 May,19:30,Chanel,Parnells,"
										9-7
									","
										3-9
									",St Annes,Eamon Bryce Whitehall Colmcille
U16 Football Div.3 League,30 May,19:30,Kiltipper Rd,Thomas Davis,"
										3-9
									","
										2-12
									",Round Towers L,Tommie Clinton-Croi Ro Naofa
